id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type; price ; minimum_nights ; number_of_reviews ;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
1,27E+18;Apartamento cerca de la playa;544263779;Holidu;Sant Martí;el Besòs i el Maresme;41.413.687;22.175.871;Entire home/apt; 10.000 ; 1 ; 1 ;9/02/2025;1;1;361;1;HUTB-008050
8,67E+17;Amazing loft-style apartment in Las Ramblas;509555992;Lofts;Ciutat Vella;el Barri Gòtic;41.381.192.703.143.700;21.739.165.428.527.800;Entire home/apt; 9.999 ; 32 ; -   ;;;1;363;0;
1,17E+18;Estudio cerca de Park Güell;568348898;Holidu;Gràcia;el Coll;414.189.645;21.491.132;Entire home/apt; 9.714 ; 1 ; 11 ;24/02/2025;1.41;1;338;11;HUTB-012373
8,53E+17;Modern Flat next to Bogatell beach;491995504;Holidu;Sant Martí;el Poblenou;41.397.376.201.338.300;2.196.828.927.844.760;Entire home/apt; 9.298 ; 1 ; 8 ;5/03/2025;0.66;1;2;8;HUTB-007075
1,06E+18;Pierre & Vacances - Studio 3 personnes;540456518;Pierre Et Vacances;Sants-Montjuïc;Sants - Badal;4.137.508.930.554.590;21.236.785.360.173.300;Entire home/apt; 9.059 ; 1 ; -   ;;;4;360;0;HUTB-005413
1,06E+18;Pierre&Vacances - Appart 4 personnes - 1 chambre;540456518;Pierre Et Vacances;Sants-Montjuïc;Sants - Badal;4.137.639.914.656.920;2.124.108.220.256.500;Entire home/apt; 9.059 ; 1 ; -   ;;;4;363;0;HUTB-005526
1,06E+18;Pierre&Vacances - Appart 5 personnes - 1 chambre;540456518;Pierre Et Vacances;Sants-Montjuïc;Sants - Badal;4.137.582;212.346;Entire home/apt; 9.059 ; 1 ; -   ;;;4;354;0;HUTB-005414
1,06E+18;Pierre & Vacances - Studio 4 Personnes;540456518;Pierre Et Vacances;Sants-Montjuïc;Sants - Badal;4.137.470.328.889.600;2.124.155.645.374.800;Entire home/apt; 9.059 ; 1 ; -   ;;;4;361;0;HUTB-005412
17474580;Hola;1447144;Acomodis Apartments;Eixample;la Sagrada Família;41.402.676.229.969.400;2.173.058.472.908.770;Entire home/apt; 9.000 ; 1 ; -   ;;;297;267;0;
1,11E+18;Navas 2;496924226;Holidu;Sant Andreu;Navas;414.154.118;21.877.208;Entire home/apt; 9.000 ; 1 ; 1 ;11/06/2024;0.11;1;365;1;HUTB-004033
